Country Code;2010
AFG;6,288
ALB;1,536
DZA;2,264
ASM;
AND;1,22
AGO;5,443
ATG;
ARG;2,211
ARM;1,736
ABW;1,699
AUS;1,92
AUT;1,44
AZE;2,3
BHS;1,896
BHR;2,54
BGD;2,245
BRB;1,551
BLR;1,44
BEL;1,84
BLZ;2,79
BEN;5,287
BMU;1,764
BTN;2,399
BOL;3,348
BIH;1,148
BWA;2,75
BRA;1,83
BRN;2,042
BGR;1,49
BFA;5,85
BDI;4,338
KHM;2,581
CMR;4,487
CAN;1,677
CPV;2,405
CYM;
CAF;4,631
TCD;5,981
CHI;1,46
CHL;1,862
CHN;1,598
COL;2,1
COM;4,919
COD;5,775
COG;4,544
CRI;1,848
CIV;4,432
HRV;1,46
CUB;1,467
CUW;
CYP;1,476
CZE;1,49
DNK;1,87
DJI;3,75
DMA;
DOM;2,58
ECU;2,479
EGY;2,733
SLV;2,25
GNQ;5,185
ERI;4,453
EST;1,63
ETH;4,193
FRO;
FJI;2,668
FIN;1,87
FRA;2
PYF;2,09
GAB;3,25
GMB;4,896
GEO;1,555
DEU;1,39
GHA;4,17
GRC;1,44
GRL;2,359
GRD;2,235
GUM;2,47
GTM;3,983
GIN;5,246
GNB;5,063
GUY;2,262
HTI;3,34
HND;3,139
HKG;1,108
HUN;1,25
ISL;2,2
IND;2,625
IDN;2,117
IRN;1,67
IRQ;4,702
IRL;2,07
IMN;
ISR;3,03
ITA;1,4
JAM;2,329
JPN;1,39
JOR;3,8
KAZ;2,59
KEN;4,718
KIR;
PRK;2,022
KOR;1,22
KSV;2,2893
KWT;2,295
KGZ;2,898
LAO;2,747
LVA;1,17
LBN;1,8
LSO;3,199
LBR;5,238
LBY;2,564
LIE;1,4
LTU;1,55
LUX;1,63
MAC;1,092
MKD;1,422
MDG;4,651
MWI;5,99
MYS;2,635
MDV;1,752
MLI;6,294
MLT;1,38
MHL;
MRT;4,533
MUS;1,47
MEX;2,32
FSM;3,451
MDA;1,475
MCO;
MNG;2,504
MNE;1,656
MAR;2,279
MOZ;4,912
MMR;2,002
NAM;3,217
NPL;2,727
NLD;1,79
NCL;2,141
NZL;2,16
NIC;2,622
NER;7,063
NGA;5,525
MNP;
NOR;1,95
OMN;2,309
PAK;3,423
PLW;
PAN;2,484
PNG;3,951
PRY;2,954
PER;2,501
PHL;3,142
POL;1,38
PRT;1,32
PRI;1,797
QAT;2,271
ROU;1,38
RUS;1,54
RWA;5,371
WSM;3,86
SMR;
STP;3,657
SAU;2,811
SEN;4,819
SRB;1,4
SYC;2,5
SLE;4,982
SGP;1,15
SXM;
SVK;1,4
SVN;1,57
SLB;4,229
SOM;6,339
ZAF;2,458
SSD;
ESP;1,39
LKA;2,313
KNA;
LCA;1,98
MAF;1,8
VCT;2,064
SDN;4,4
SUR;2,336
SWZ;3,364
SWE;1,98
CHE;1,5
SYR;2,934
TJK;3,297
TZA;5,544
THA;1,579
TLS;5,578
TGO;4,072
TON;3,911
TTO;1,639
TUN;2,04
TUR;2,088
TKM;2,399
TCA;
TUV;
UGA;6,149
UKR;1,445
ARE;1,749
GBR;1,94
USA;2,1
URY;1,9856
UZB;2,499
VUT;3,869
VEN;2,49
VNM;1,822
VIR;1,8
PSE;4,453
YEM;5,2
ZMB;6,258
ZWE;3,29
