Country Code;2009
AFG;21
ALB;89
DZA;74
ASM;
AND;
AGO;
ATG;153
ARG;
ARM;
ABW;
AUS;550
AUT;521
AZE;86
BHS;
BHR;451
BGD;2
BRB;
BLR;
BEL;483
BLZ;
BEN;
BMU;
BTN;46
BOL;
BIH;121
BWA;69
BRA;178
BRN;
BGR;330
BFA;7
BDI;
KHM;
CMR;
CAN;420
CPV;
CYM;
CAF;
TCD;
CHI;
CHL;118
CHN;34
COL;53
COM;
COD;
COG;
CRI;130
CIV;
HRV;346
CUB;
CUW;
CYP;529
CZE;423
DNK;380
DJI;
DMA;
DOM;87
ECU;36
EGY;33
SLV;49
GNQ;
ERI;
EST;407
ETH;
FRO;
FJI;117
FIN;459
FRA;496
PYF;
GAB;
GMB;
GEO;126
DEU;510
GHA;18
GRC;455
GRL;
GRD;
GUM;
GTM;37
GIN;
GNB;
GUY;
HTI;
HND;
HKG;56
HUN;301
ISL;644
IND;12
IDN;45
IRN;
IRQ;
IRL;434
IMN;
ISR;265
ITA;596
JAM;
JPN;454
JOR;113
KAZ;167
KEN;13
KIR;
PRK;
KOR;267
KSV;
KWT;412
KGZ;
LAO;
LVA;401
LBN;
LSO;
LBR;
LBY;
LIE;
LTU;508
LUX;666
MAC;144
MKD;138
MDG;7
MWI;
MYS;313
MDV;12
MLI;8
MLT;566
MHL;
MRT;
MUS;129
MEX;191
FSM;
MDA;107
MCO;771
MNG;
MNE;
MAR;
MOZ;9
MMR;5
NAM;46
NPL;
NLD;
NCL;
NZL;603
NIC;18
NER;6
NGA;
MNP;
NOR;465
OMN;
PAK;10
PLW;
PAN;101
PNG;
PRY;
PER;41
PHL;8
POL;432
PRT;
PRI;582
QAT;
ROU;198
RUS;233
RWA;2
WSM;
SMR;
STP;
SAU;
SEN;
SRB;224
SYC;
SLE;
SGP;121
SXM;
SVK;293
SVN;522
SLB;
SOM;
ZAF;110
SSD;
ESP;478
LKA;19
KNA;
LCA;
MAF;
VCT;
SDN;
SUR;221
SWZ;
SWE;462
CHE;519
SYR;30
TJK;
TZA;
THA;
TLS;
TGO;
TON;
TTO;
TUN;
TUR;95
TKM;
TCA;
TUV;
UGA;3
UKR;142
ARE;
GBR;460
USA;439
URY;179
UZB;
VUT;
VEN;
VNM;
VIR;
PSE;25
YEM;
ZMB;
ZWE;
